No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
414,Estriol,110,2.04,1417721-33-5,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",PROQIPRRNZUXQM-ZXXIGWHRSA-N
415,17α-ethinylestradiol,110,2.04,51414-85-8,OC(C=C1)=CC2=C1[C@@]3([H])CC[C@]4(C)[C@@](C#C)(O)CC[C@@]4([H])[C@]3([H])CC2,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1",BFPYWIDHMRZLRN-SLHNCBLASA-N
416,Estrone,130,2.11,53-16-7,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N
417,diazepam,0.42,-0.38,1216457-46-3,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,,,https://doi.org/10.1016/j.cej.2018.08.082,halogenated,Halogenated organics,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3",AAOVKJBEBIDNHE-UHFFFAOYSA-N
418,nordazepam,0.18,-0.76,65891-80-7,Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,,,https://doi.org/10.1016/j.cej.2018.08.082,halogenated,Halogenated organics,"InChI=1S/C15H11ClN2O/c16-11-6-7-13-12(8-11)15(17-9-14(19)18-13)10-4-2-1-3-5-10/h1-8H,9H2,(H,18,19)",AKPLHCDWDRPJGD-UHFFFAOYSA-N
419,Benzotriazole,0.2,-0.7,1185072-03-0,[nH]1nnc2ccccc12,,,https://doi.org/10.1080/01919512.2013.794107,heterocycle,Heterocycles,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",QRUDEWIWKLJBPS-UHFFFAOYSA-N
420,Flavone,13.1,1.12,138263-98-6,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,,,https://doi.org/10.1016/j.watres.2015.09.024,heterocycle,Heterocycles,InChI=1S/C15H10O2/c16-13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-10H,VHBFFQKBGNRLFZ-UHFFFAOYSA-N
421,anisole,0.02,-1.7,342-33-6,COc1ccccc1,,,https://doi.org/10.1016/j.watres.2007.07.025,ether,Oxygenated organics,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N
422,butylphenylether,0.03,-1.52,1126-79-0,CCCCOc1ccccc1,,,https://doi.org/10.1016/j.watres.2007.07.025,ether,Oxygenated organics,"InChI=1S/C10H14O/c1-2-3-9-11-10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3",YFNONBGXNFCTMM-UHFFFAOYSA-N
423,3-methylanisole,0.35,-0.46,117923-70-3,COc1cccc(C)c1,,,https://doi.org/10.1016/j.watres.2007.07.025,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-4-3-5-8(6-7)9-2/h3-6H,1-2H3",OSIGJGFTADMDOB-UHFFFAOYSA-N
424,4-methylanisole,0.03,-1.52,117923-70-3,COc1ccc(C)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,ether,Oxygenated organics,"InChI=1S/C8H10O/c1-7-3-5-8(9-2)6-4-7/h3-6H,1-2H3",CHLICZRVGGXEOD-UHFFFAOYSA-N
425,1-methoxynaphtalene,2,0.3,32721-21-4,COc1cccc2ccccc12,,,https://doi.org/10.1016/j.watres.2007.07.025,ether,Oxygenated organics,"InChI=1S/C11H10O/c1-12-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3",NQMUGNMMFTYOHK-UHFFFAOYSA-N
426,"Triclosan 5 chloro-2-(2,4- dichlorophenoxy)phenol)",470,2.67,502764-70-7,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N
427,"5,6-dichloro-2-(2,4- dichlorophenoxy) phenol",360,2.56,63709-57-9,Oc1c(Cl)c(Cl)ccc1Oc2ccc(Cl)cc2Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C12H6Cl4O2/c13-6-1-3-9(8(15)5-6)18-10-4-2-7(14)11(16)12(10)17/h1-5,17H",BKWHBKVTXLCASI-UHFFFAOYSA-N
428,"4,5-dichloro-2-(2,4- dichlorophenoxy) phenol",180,2.26,3380-44-7,Oc1cc(Cl)c(Cl)cc1Oc2ccc(Cl)cc2Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C12H6Cl4O2/c13-6-1-2-11(9(16)3-6)18-12-5-8(15)7(14)4-10(12)17/h1-5,17H",MCNUFYGRHZLQGD-UHFFFAOYSA-N
429,"4,5,6-trichloro-2-(2,4- dichlorophenoxy) phenol",29,1.46,53555-01-4,Oc1c(Cl)c(Cl)c(Cl)cc1Oc2ccc(Cl)cc2Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C12H5Cl5O2/c13-5-1-2-8(6(14)3-5)19-9-4-7(15)10(16)11(17)12(9)18/h1-4,18H",PVLWIBDPWVHDIN-UHFFFAOYSA-N
430,acebutolol,0.07,-1.13,2364559-55-5,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,,,https://doi.org/10.1007/s11356-015-5470-y,amide,Nitrogen-containing organics,"InChI=1S/C18H28N2O4/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23)",GOEMGAFJFRBGGG-UHFFFAOYSA-N
431,1-phenoxy-2-propanol,0.01,-2,65488-98-4,CC(O)COc1ccccc1,,,https://doi.org/10.1016/j.watres.2007.07.025,alcohol,Oxygenated organics,"InChI=1S/C9H12O2/c1-8(10)7-11-9-5-3-2-4-6-9/h2-6,8,10H,7H2,1H3",IBLKWZIFZMJLFL-UHFFFAOYSA-N
432,ubiquinol-0,1300,3.11,139047-33-9,COc1c(O)cc(C)c(O)c1OC,,,https://doi.org/10.1021/tx025670s,phenol,Oxygenated organics,"InChI=1S/C9H12O4/c1-5-4-6(10)8(12-2)9(13-3)7(5)11/h4,10-11H,1-3H3",DSBZYDDWLLIJJS-UHFFFAOYSA-N
433,2-Phenoxyethanol,0.07,-1.15,56257-90-0,OCCOc1ccccc1,,,https://doi.org/10.1002/jctb.4441,alcohol,Oxygenated organics,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2",QCDWFXQBSFUVSP-UHFFFAOYSA-N
434,Benzophenone-3,527,2.72,31766-07-1,COc1ccc(c(O)c1)C(=O)c2ccccc2,,,https://doi.org/10.1021/acs.est.5b03559,phenol,Oxygenated organics,"InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3",DXGLGDHPHMLXJC-UHFFFAOYSA-N
435,Oxybenzone,342,2.53,131-57-7,COc1ccc(c(O)c1)C(=O)c2ccccc2,,,https://doi.org/10.1016/j.chemosphere.2016.03.116,phenol,Oxygenated organics,"InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3",DXGLGDHPHMLXJC-UHFFFAOYSA-N
436,tetrabromobisphenol A,1509.27,3.18,1352876-39-1,CC(C)(c1ccc(O)cc1)c2c(Br)cc(OBr)c(Br)c2Br,,,https://kinetics.nist.gov/solution/,halogenated,Halogenated organics,"InChI=1S/C15H12Br4O2/c1-15(2,8-3-5-9(20)6-4-8)12-10(16)7-11(21-19)13(17)14(12)18/h3-7,20H,1-2H3",MDLXNTGRJQOADZ-UHFFFAOYSA-N
437,losartan,2.18,0.34,1350088-07-1,CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4,,,https://doi.org/10.1016/j.scitotenv.2018.08.082,halogenated,Halogenated organics,"InChI=1S/C22H23ClN6O/c1-2-3-8-20-24-21(23)19(14-30)29(20)13-15-9-11-16(12-10-15)17-6-4-5-7-18(17)22-25-27-28-26-22/h4-7,9-12,30H,2-3,8,13-14H2,1H3,(H,25,26,27,28)",PSIFNNKUMBGKDQ-UHFFFAOYSA-N
438,Acetaminophen,13,1.11,462631-86-3,CC(=O)Nc1ccc(O)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N
439,chloramphenicol,16.2,1.21,56-75-7,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,,,https://doi.org/10.1016/j.watres.2017.05.030,halogenated,Halogenated organics,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)",WIIZWVCIJKGZOK-UHFFFAOYSA-N
440,ephedrine,12.37,1.09,73508-06-2,CN[C@@H](C)[C@H](O)c1ccccc1,,,https://doi.org/10.1016/j.scitotenv.2020.140146,amine,Nitrogen-containing organics,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1",KWGRBVOPPLSCSI-WPRPVWTQSA-N
441,3-aminophenol,55000,4.74,51-81-0,Nc1cccc(O)c1,,,https://doi.org/10.1080/09593330.2015.1025859,phenol,Oxygenated organics,"InChI=1S/C6H7NO/c7-5-2-1-3-6(8)4-5/h1-4,8H,7H2",CWLKGDAVCFYWJK-UHFFFAOYSA-N
442,Phenol,23,1.36,53379-77-4,Oc1ccccc1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
443,4-methylphenol,12,1.08,41701-84-2,Cc1ccc(O)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N
444,4-iodophenol,10,1,1021325-54-1,Oc1ccc(I)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5IO/c7-5-1-3-6(8)4-2-5/h1-4,8H",VSMDINRNYYEDRN-UHFFFAOYSA-N
445,resorcinol,4695.02,3.67,751455-55-7,Oc1cccc(O)c1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
446,orcinol,21669.9,4.34,889140-51-6,Cc1cc(O)cc(O)c1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C7H8O2/c1-5-2-6(8)4-7(9)3-5/h2-4,8-9H,1H3",OIPPWFOQEKKFEE-UHFFFAOYSA-N
447,4-n-nonylphenol,13,1.11,84852-15-3,CCCCCCCCCc1ccc(O)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",IGFHQQFPSIBGKE-UHFFFAOYSA-N
448,Bisphenol A,62,1.79,68440-77-7,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N
449,bisphenol F,86.53,1.94,96141-20-7,Oc1ccccc1Cc2ccccc2O,,,https://doi.org/10.1016/j.watres.2015.04.014,phenol,Oxygenated organics,"InChI=1S/C13H12O2/c14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)15/h1-8,14-15H,9H2",MQCPOLNSJCWPGT-UHFFFAOYSA-N
450,hydroquinone,21.6,1.33,56924-48-2,Oc1ccc(O)cc1,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",QIGBRXMKCJKVMJ-UHFFFAOYSA-N
451,3-Methylphenol,533.33,2.73,41701-84-2,Cc1cccc(O)c1,,,https://doi.org/10.1016/j.chemosphere.2021.131551,phenol,Oxygenated organics,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N
452,4-cyanophenol,8,0.9,1025089-21-7,Oc1ccc(cc1)C#N,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H",CVNOWLNNPYYEOH-UHFFFAOYSA-N
453,Dinoseb,0.4,-0.4,6365-83-9,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,,,https://doi.org/10.1016/j.chemosphere.2013.08.035,phenol,Oxygenated organics,"InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3",OWZPCEFYPSAJFR-UHFFFAOYSA-N
454,bisphenol S,120,2.08,847696-49-5,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,,,https://doi.org/10.1016/j.watres.2017.12.049,phenol,Oxygenated organics,"InChI=1S/C12H10O4S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8,13-14H",VPWNQTHUCYMVMZ-UHFFFAOYSA-N
455,Catechol,217.5,2.34,82869-32-7,C1=CC=C(C(=C1)O)O,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
456,Gallic acid,1600,3.2,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N
457,Phloroglucinol,1200000,6.08,1329497-24-6,C1=C(C=C(C=C1O)O)O,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H",QCDYQQDYXPDABM-UHFFFAOYSA-N
458,p-Hydroxybenzoic acid,15.9,1.2,15446-51-2,C1=CC(=CC=C1C(=O)O)O,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N
459,Hesperetin,260000,5.41,250707-82-5,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,,,https://doi.org/10.1016/j.watres.2015.09.024,phenol,Oxygenated organics,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3",AIONOLUJZLIMTK-UHFFFAOYSA-N
460,4-chlorophenol,7.5,0.88,1235439-85-6,Oc1ccc(Cl)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",WXNZTHHGJRFXKQ-UHFFFAOYSA-N
461,2-chlorophenol,50,1.7,1235439-85-6,Oc1ccccc1Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",ISPYQTSUDJAMAB-UHFFFAOYSA-N
462,"2,4-dichlorophenol",29,1.46,1202864-83-2,Oc1ccc(Cl)cc1Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",HFZWRUODUSTPEG-UHFFFAOYSA-N
463,"2,6-dichlorophenol",78,1.89,107931-00-0,Oc1c(Cl)cccc1Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",HOLHYSJJBXSLMV-UHFFFAOYSA-N
464,"2,4,6-trichlorophenol",9,0.95,88-06-2,Oc1c(Cl)cc(Cl)cc1Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",LINPIYWFGCPVIE-UHFFFAOYSA-N
465,2-bromophenol,70,1.85,68541-56-0,Oc1ccccc1Br,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5BrO/c7-5-3-1-2-4-6(5)8/h1-4,8H",VADKRMSMGWJZCF-UHFFFAOYSA-N
466,4-bromophenol,12,1.08,1323940-38-0,Oc1ccc(Br)cc1,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",GZFGOTFRPZRKDS-UHFFFAOYSA-N
467,"2,4-dibromophenol",33,1.52,2483736-16-7,Oc1ccc(Br)cc1Br,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H4Br2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",FAXWFCTVSHEODL-UHFFFAOYSA-N
468,"2,6-dibromophenol",80,1.9,1219803-14-1,Oc1c(Br)cccc1Br,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H4Br2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",SSIZLKDLDKIHEV-UHFFFAOYSA-N
469,4-chlororesorcinol,10354.71,4.02,953390-32-4,Oc1ccc(Cl)c(O)c1,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H5ClO2/c7-5-2-1-4(8)3-6(5)9/h1-3,8-9H",JQVAPEJNIZULEK-UHFFFAOYSA-N
470,"4,6-dichlororesorcinol",11682.59,4.07,198009-76-6,Oc1cc(O)c(Cl)cc1Cl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C6H4Cl2O2/c7-3-1-4(8)6(10)2-5(3)9/h1-2,9-10H",GRLQBYQELUWBIO-UHFFFAOYSA-N
471,Chlorophene,28.4,1.45,120-32-1,Oc1ccc(Cl)cc1Cc2ccccc2,,,https://doi.org/10.1080/01919512.2013.794107,halogenated,Halogenated organics,"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2",NCKMMSIFQUPKCK-UHFFFAOYSA-N
472,bisphenol AF,38.31,1.58,40216-08-8,Oc1ccc(cc1)C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F,,,https://doi.org/10.1021/acsestwater.0c00186,phenol,Oxygenated organics,"InChI=1S/C15H10F6O2/c16-14(17,18)13(15(19,20)21,9-1-5-11(22)6-2-9)10-3-7-12(23)8-4-10/h1-8,22-23H",ZFVMWEVVKGLCIJ-UHFFFAOYSA-N
473,Triclosan,4535,3.66,1020720-00-6,OC1=CC(Cl)=CC=C1OC2=C(C=C(C=C2)Cl)Cl,,,https://doi.org/10.1016/j.watres.2006.05.031,halogenated,Halogenated organics,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N
474,levofloxacin,7,0.85,1797099-76-3,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,,,https://doi.org/10.3184/146867812X13440034591571,halogenated,Halogenated organics,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)/t10-/m0/s1",GSDSWSVVBLHKDQ-JTQLQIEISA-N
475,fleroxacin,1.54,0.19,79660-53-0,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN(CCF)c3c2F)C(O)=O,,,https://doi.org/10.1016/j.chemosphere.2021.131585,halogenated,Halogenated organics,"InChI=1S/C17H18F3N3O3/c1-21-4-6-22(7-5-21)15-12(19)8-10-14(13(15)20)23(3-2-18)9-11(16(10)24)17(25)26/h8-9H,2-7H2,1H3,(H,25,26)",XBJBPGROQZJDOJ-UHFFFAOYSA-N
476,norfloxacin,700000,5.85,1426313-01-0,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(cc12)N3CCNCC3,,,https://doi.org/10.1016/j.chemosphere.2018.09.100,halogenated,Halogenated organics,"InChI=1S/C16H18FN3O3/c1-2-19-9-11(16(22)23)15(21)10-7-12(17)14(8-13(10)19)20-5-3-18-4-6-20/h7-9,18H,2-6H2,1H3,(H,22,23)",OGJPXUAPXNRGGI-UHFFFAOYSA-N
477,enoxacin,32.5,1.51,1329642-60-5,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N3CCNCC3,,,https://doi.org/10.1016/j.scitotenv.2019.04.275,halogenated,Halogenated organics,"InChI=1S/C15H17FN4O3/c1-2-19-8-10(15(22)23)12(21)9-7-11(16)14(18-13(9)19)20-5-3-17-4-6-20/h7-8,17H,2-6H2,1H3,(H,22,23)",IDYZIJYBMGIQMJ-UHFFFAOYSA-N
478,cinnamic acid (CA),0.5,-0.3,2734410-01-4,OC(=O)C=Cc1ccccc1,,,https://doi.org/10.1016/j.watres.2020.116424,carboxylic acid,Oxygenated organics,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)",WBYWAXJHAXSJNI-UHFFFAOYSA-N
479,2-methylcinnamic acid (4-CH3CA),0.2,-0.7,195046-26-5,Cc1ccccc1C=CC(O)=O,,,https://doi.org/10.1016/j.watres.2020.116424,carboxylic acid,Oxygenated organics,"InChI=1S/C10H10O2/c1-8-4-2-3-5-9(8)6-7-10(11)12/h2-7H,1H3,(H,11,12)",RSWBWHPZXKLUEX-UHFFFAOYSA-N
480,α-methylcinnamic acid (α-CH3CA),0.5,-0.3,1895-97-2,CC(=Cc1ccccc1)C(O)=O,,,https://doi.org/10.1016/j.watres.2020.116424,carboxylic acid,Oxygenated organics,"InChI=1S/C10H10O2/c1-8(10(11)12)7-9-5-3-2-4-6-9/h2-7H,1H3,(H,11,12)",XNCRUNXWPDJHGV-UHFFFAOYSA-N
481,4-chloro-α-cyanocinnamic acid (4-Cl-α-CNCA),0.2,-0.7,339548-64-0,OC(=O)C(=Cc1ccc(Cl)cc1)C#N,,,https://doi.org/10.1016/j.watres.2020.116424,halogenated,Halogenated organics,"InChI=1S/C10H6ClNO2/c11-9-3-1-7(2-4-9)5-8(6-12)10(13)14/h1-5H,(H,13,14)",MXCRRKYUQNHWLJ-UHFFFAOYSA-N
482,4-chlorocinnamic acid (4-ClCA),0.08,-1.1,1262014-70-9,OC(=O)C=Cc1ccc(Cl)cc1,,,https://doi.org/10.1016/j.watres.2020.116424,halogenated,Halogenated organics,"InChI=1S/C9H7ClO2/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6H,(H,11,12)",GXLIFJYFGMHYDY-UHFFFAOYSA-N
483,N-acetyl-Ala,0,-2.92,15962-47-7,O=C(O)[C@H](C)NC(C)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,amide,Nitrogen-containing organics,"InChI=1S/C5H9NO3/c1-3(5(8)9)6-4(2)7/h3H,1-2H3,(H,6,7)(H,8,9)/t3-/m0/s1",KTHDTJVBEPMMGL-VKHMYHEASA-N
484,N-acetyl-(Ala)2,0.01,-2.1,15962-47-7,O=C(N[C@@H](C)C(O)=O)[C@H](C)NC(C)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,amide,Nitrogen-containing organics,"InChI=1S/C8H14N2O4/c1-4(9-6(3)11)7(12)10-5(2)8(13)14/h4-5H,1-3H3,(H,9,11)(H,10,12)(H,13,14)/t4-,5-/m0/s1",MJZMSEWWBGCBFM-WHFBIAKZSA-N
485,N-acetyl-(Ala)3,0.02,-1.64,15962-47-7,O=C(N[C@@H](C)C(N[C@@H](C)C(O)=O)=O)[C@H](C)NC(C)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,amide,Nitrogen-containing organics,"InChI=1S/C11H19N3O5/c1-5(12-8(4)15)9(16)13-6(2)10(17)14-7(3)11(18)19/h5-7H,1-4H3,(H,12,15)(H,13,16)(H,14,17)(H,18,19)/t5-,6-,7-/m0/s1",DRYOODAJROGPQO-ACZMJKKPSA-N
486,N-acetylglycine,0,-2.8,90170-48-2,CC(=O)NCC(O)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,amide,Nitrogen-containing organics,"InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)",OKJIRPAQVSHGFK-UHFFFAOYSA-N
487,Cyclo(Asp)2,1.9,0.28,161552-03-0,O=C1N[C@@H](CC(O)=O)C(N[C@H]1CC(O)=O)=O,,,https://doi.org/10.1016/j.watres.2007.07.025,cyclo,Aliphatic hydrocarbons,"InChI=1S/C8H10N2O6/c11-5(12)1-3-7(15)10-4(2-6(13)14)8(16)9-3/h3-4H,1-2H2,(H,9,16)(H,10,15)(H,11,12)(H,13,14)/t3-,4-/m0/s1",NMAZZUSURHBTKP-IMJSIDKUSA-N
